median_p4 median_p5 median_p6 satellite time_mjd
0.0151 0.0122 0.0042 13 57287.999222407
0.0151 0.0126 0.00413 13 57288.999222407
0.0158 0.0124 0.0042 13 57289.999222407
0.0158 0.0126 0.0042 13 57290.999222407
0.0151 0.0126 0.004215 13 57291.999222407
0.0158 0.0128 0.00425 13 57292.999222407
0.0158 0.0126 0.00427 13 57293.999222407
0.0158 0.0126 0.00417 13 57294.999222407
0.0177 0.0128 0.00427 13 57295.999222407
0.0158 0.013 0.00434 13 57296.999222407
0.0151 0.0126 0.0042 13 57297.999222407
0.0158 0.0124 0.0042 13 57298.999222407
0.0151 0.0124 0.00413 13 57299.999222407
0.0158 0.0122 0.00417 13 57300.999222407
0.0158 0.0124 0.0041 13 57301.999222407
0.0151 0.0124 0.00413 13 57302.999222407
0.0151 0.0126 0.0042 13 57303.999222407
0.0151 0.0124 0.00417 13 57304.999222407
0.0151 0.0124 0.00413 13 57305.999222407
0.0151 0.0124 0.00417 13 57306.999222407
0.0151 0.0124 0.00413 13 57307.999222407
0.0151 0.0122 0.00417 13 57308.999222407
0.0151 0.0122 0.00413 13 57309.999222407
0.0158 0.0124 0.00417 13 57310.999222407
0.0158 0.0124 0.00423 13 57311.999222407
0.0158 0.0128 0.00423 13 57312.999222407
0.015450000000000002 0.0126 0.0042 13 57313.999222407
0.0151 0.0124 0.0042 13 57314.999222407
0.0151 0.0124 0.00423 13 57315.999222407
0.0164 0.0126 0.00427 13 57316.999222407
0.0164 0.0126 0.004285000000000001 13 57317.999222407
0.0158 0.0128 0.00427 13 57318.999222407
0.0158 0.0128 0.00423 13 57319.999222407
0.0158 0.0126 0.0042 13 57320.999222407
0.0151 0.0126 0.00417 13 57321.999222407
0.0158 0.013 0.00423 13 57322.999222407
0.224 0.040900000000000006 0.007025 13 57323.999222407
0.0552 0.0179 0.00474 13 57324.999222407
0.025 0.0142 0.0043 13 57325.999222407
0.0184 0.0134 0.00434 13 57326.999222407
0.0171 0.0132 0.00437 13 57327.999222407
0.0164 0.0132 0.00437 13 57328.999222407
0.0171 0.0128 0.0042 13 57329.999222407
0.0164 0.0129 0.00423 13 57330.999222407
0.0158 0.0128 0.00427 13 57331.999222407
0.0151 0.0122 0.0041 13 57332.999222407
0.0158 0.0126 0.0042 13 57333.999222407
0.0171 0.0132 0.0043 13 57334.999222407
0.0335 0.0137 0.00417 13 57335.999222407
0.01675 0.0123 0.0041 13 57336.999222407
0.0151 0.0122 0.00407 13 57337.999222407
0.0158 0.0126 0.00413 13 57338.999222407
0.0151 0.0124 0.00413 13 57339.999222407
0.0158 0.0126 0.00417 13 57340.999222407
0.0158 0.0126 0.00417 13 57341.999222407
0.0151 0.0126 0.00423 13 57342.999222407
0.0158 0.0127 0.00427 13 57343.999222407
0.0158 0.0128 0.00427 13 57344.999222407
0.0158 0.0128 0.0042 13 57345.999222407
0.0151 0.0128 0.0043 13 57346.999222407
0.016100000000000003 0.0128 0.00437 13 57347.999222407
0.0164 0.013 0.004385 13 57348.999222407
0.0164 0.0136 0.00449 13 57349.999222407
0.0164 0.0136 0.00451 13 57350.999222407
0.0164 0.0136 0.00451 13 57351.999222407
0.0164 0.0132 0.00451 13 57352.999222407
0.0158 0.0134 0.00451 13 57353.999222407
0.0164 0.0137 0.00454 13 57354.999222407
0.0171 0.0136 0.00457 13 57355.999222407
0.0171 0.0136 0.00457 13 57356.999222407
0.0158 0.0134 0.00454 13 57357.999222407
0.0171 0.0135 0.00447 13 57358.999222407
0.0164 0.0132 0.0044 13 57359.999222407
0.0164 0.0136 0.00447 13 57360.999222407
0.0164 0.0132 0.004385 13 57361.999222407
0.0158 0.0126 0.0043 13 57362.999222407
0.0151 0.0132 0.00423 13 57363.999222407
0.0158 0.013 0.00423 13 57364.999222407
0.0151 0.0128 0.00427 13 57365.999222407
0.0158 0.0128 0.00417 13 57366.999222407
0.0151 0.0124 0.00417 13 57367.999222407
0.0158 0.0126 0.0042 13 57368.999222407
0.0158 0.0126 0.00423 13 57369.999222407
0.015450000000000002 0.0126 0.0042 13 57370.999222407
0.016100000000000003 0.0128 0.0043 13 57371.999222407
0.0158 0.0128 0.00434 13 57372.999222407
0.0158 0.0128 0.00434 13 57373.999222407
0.0164 0.0133 0.00444 13 57374.999222407
0.0158 0.013 0.00434 13 57375.999222407
0.0158 0.0129 0.00434 13 57376.999222407
0.0164 0.0134 0.00447 13 57377.999222407
0.0171 0.0136 0.004555 13 57378.999222407
0.0164 0.0138 0.00464 13 57379.999222407
0.0171 0.0138 0.00464 13 57380.999222407
0.0177 0.0138 0.00461 13 57381.999222407
0.0174 0.014 0.00464 13 57382.999222407
0.0217 0.0142 0.00467 13 57383.999222407
0.029249999999999998 0.0144 0.00474 13 57384.999222407
0.0197 0.014 0.00474 13 57385.999222407
0.0171 0.0134 0.00444 13 57386.999222407
0.0158 0.013 0.00437 13 57387.999222407
0.07915 0.016399999999999998 0.00454 13 57388.999222407
0.0223 0.0136 0.0044 13 57389.999222407
0.0171 0.0134 0.00447 13 57390.999222407
0.0171 0.0132 0.00454 13 57391.999222407
0.0164 0.0136 0.00454 13 57392.999222407
0.0164 0.0136 0.00454 13 57393.999222407
0.0171 0.0136 0.0045249999999999995 13 57394.999222407
0.0171 0.014 0.00459 13 57395.999222407
0.0171 0.0138 0.00454 13 57396.999222407
0.0164 0.0136 0.00454 13 57397.999222407
0.0171 0.0136 0.00447 13 57398.999222407
0.0164 0.0134 0.00454 13 57399.999222407
0.0164 0.0134 0.00447 13 57400.999222407
0.0164 0.0137 0.00457 13 57401.999222407
0.0164 0.0138 0.00464 13 57402.999222407
0.0171 0.0138 0.00451 13 57403.999222407
0.0164 0.0138 0.00461 13 57404.999222407
0.0158 0.0134 0.00451 13 57405.999222407
0.0164 0.0136 0.00447 13 57406.999222407
0.0164 0.0134 0.00454 13 57407.999222407
0.0164 0.0137 0.00454 13 57408.999222407
0.0171 0.014100000000000001 0.00467 13 57409.999222407
0.0171 0.0146 0.00478 13 57410.999222407
0.0177 0.0146 0.00491 13 57411.999222407
0.0184 0.0148 0.00495 13 57412.999222407
0.0177 0.0148 0.004824999999999999 13 57413.999222407
0.0177 0.0144 0.00488 13 57414.999222407
0.0184 0.0148 0.00484 13 57415.999222407
0.0184 0.0146 0.00495 13 57416.999222407
0.0184 0.0146 0.00491 13 57417.999222407
0.0171 0.0144 0.00478 13 57418.999222407
0.0171 0.0146 0.00481 13 57419.999222407
0.0184 0.0148 0.00495 13 57420.999222407
0.0177 0.0142 0.00474 13 57421.999222407
0.01675 0.014100000000000001 0.00464 13 57422.999222407
0.0171 0.014 0.00464 13 57423.999222407
0.0171 0.014 0.00471 13 57424.999222407
0.0177 0.0138 0.00471 13 57425.999222407
0.0171 0.0142 0.004654999999999999 13 57426.999222407
0.0171 0.0144 0.00481 13 57427.999222407
0.0184 0.0142 0.00481 13 57428.999222407
0.0177 0.0144 0.00484 13 57429.999222407
0.0184 0.0142 0.00471 13 57430.999222407
0.0177 0.0142 0.00467 13 57431.999222407
0.0171 0.0142 0.00469 13 57432.999222407
0.0171 0.0142 0.00464 13 57433.999222407
0.0171 0.0144 0.00474 13 57434.999222407
0.0171 0.0142 0.00478 13 57435.999222407
0.0171 0.0144 0.00484 13 57436.999222407
0.0177 0.0143 0.00481 13 57437.999222407
0.0177 0.014499999999999999 0.00484 13 57438.999222407
0.01805 0.0148 0.00488 13 57439.999222407
0.0184 0.0146 0.00491 13 57440.999222407
0.01875 0.0149 0.00498 13 57441.999222407
0.0184 0.0149 0.00498 13 57442.999222407
0.0184 0.0148 0.00495 13 57443.999222407
0.0184 0.0148 0.00488 13 57444.999222407
0.0171 0.0142 0.00481 13 57445.999222407
0.0177 0.0142 0.00478 13 57446.999222407
0.0184 0.014499999999999999 0.00488 13 57447.999222407
0.0177 0.0148 0.00491 13 57448.999222407
0.0184 0.0149 0.00495 13 57449.999222407
0.0184 0.0149 0.00498 13 57450.999222407
0.018250000000000002 0.0149 0.00498 13 57451.999222407
0.0177 0.0146 0.00481 13 57452.999222407
0.0177 0.0142 0.00478 13 57453.999222407
0.0177 0.0144 0.00474 13 57454.999222407
0.0171 0.0144 0.00486 13 57455.999222407
0.0177 0.0144 0.00478 13 57456.999222407
0.0177 0.0146 0.00488 13 57457.999222407
0.0177 0.0146 0.00488 13 57458.999222407
0.0177 0.0144 0.00491 13 57459.999222407
0.0177 0.0143 0.004795000000000001 13 57460.999222407
0.0171 0.0144 0.00488 13 57461.999222407
0.025 0.0149 0.00481 13 57462.999222407
0.0191 0.0144 0.00478 13 57463.999222407
0.0177 0.0146 0.00481 13 57464.999222407
0.0177 0.0146 0.00481 13 57465.999222407
0.0177 0.0146 0.00481 13 57466.999222407
0.0177 0.014700000000000001 0.00491 13 57467.999222407
0.0177 0.0146 0.00481 13 57468.999222407
0.0184 0.0146 0.00484 13 57469.999222407
0.0177 0.0144 0.004795000000000001 13 57470.999222407
0.0171 0.0142 0.00464 13 57471.999222407
0.0174 0.014 0.00471 13 57472.999222407
0.0174 0.014 0.00467 13 57473.999222407
0.0177 0.014499999999999999 0.00484 13 57474.999222407
0.0177 0.0146 0.00481 13 57475.999222407
0.0177 0.0144 0.00484 13 57476.999222407
0.0177 0.0142 0.00484 13 57477.999222407
0.0177 0.0143 0.00478 13 57478.999222407
0.0184 0.0146 0.00488 13 57479.999222407
0.0177 0.0146 0.00488 13 57480.999222407
0.0177 0.0146 0.00491 13 57481.999222407
0.0184 0.0148 0.00498 13 57482.999222407
0.0184 0.0148 0.00491 13 57483.999222407
0.0177 0.0148 0.00498 13 57484.999222407
0.01805 0.0146 0.00498 13 57485.999222407
0.0184 0.0146 0.00488 13 57486.999222407
0.0184 0.01485 0.00495 13 57487.999222407
0.0171 0.0144 0.00484 13 57488.999222407
0.0184 0.0144 0.00484 13 57489.999222407
0.0177 0.0144 0.00481 13 57490.999222407
