median_p4 median_p5 median_p6 satellite time_mjd
0.0138 0.012 0.00356 15 57230.999222407
0.0131 0.0118 0.00349 15 57231.999222407
0.0131 0.012 0.00362 15 57232.999222407
0.0131 0.0118 0.00356 15 57233.999222407
0.0131 0.012 0.00366 15 57234.999222407
0.0131 0.0122 0.00366 15 57235.999222407
0.0131 0.0122 0.00369 15 57236.999222407
0.0138 0.0122 0.00366 15 57237.999222407
0.0138 0.0122 0.00369 15 57238.999222407
0.0138 0.0124 0.0037099999999999998 15 57239.999222407
0.0138 0.0124 0.00362 15 57240.999222407
0.0131 0.0122 0.00362 15 57241.999222407
0.0138 0.012 0.00359 15 57242.999222407
0.0138 0.0123 0.00366 15 57243.999222407
0.0138 0.012 0.00362 15 57244.999222407
0.0138 0.012 0.00356 15 57245.999222407
0.0138 0.012 0.00359 15 57246.999222407
0.01345 0.0121 0.00362 15 57247.999222407
0.0131 0.0118 0.003475 15 57248.999222407
0.0131 0.0114 0.0035399999999999997 15 57249.999222407
0.0131 0.0118 0.00352 15 57250.999222407
0.0138 0.0118 0.00359 15 57251.999222407
0.0138 0.0122 0.00366 15 57252.999222407
0.0138 0.0124 0.00366 15 57253.999222407
0.0138 0.0122 0.00366 15 57254.999222407
0.0138 0.0122 0.0036049999999999997 15 57255.999222407
0.0138 0.0122 0.0036049999999999997 15 57256.999222407
0.0145 0.012 0.0036750000000000003 15 57257.999222407
0.0145 0.0122 0.00366 15 57258.999222407
0.0138 0.0118 0.00356 15 57259.999222407
0.0131 0.0116 0.00349 15 57260.999222407
0.01345 0.012 0.00356 15 57261.999222407
0.0145 0.012 0.00362 15 57262.999222407
0.0138 0.0122 0.00369 15 57263.999222407
0.0145 0.0122 0.00373 15 57264.999222407
0.0138 0.0122 0.00373 15 57265.999222407
0.0138 0.0126 0.00373 15 57266.999222407
0.0138 0.01225 0.00376 15 57267.999222407
0.0145 0.0124 0.00373 15 57268.999222407
0.0138 0.0126 0.00373 15 57269.999222407
0.0138 0.0124 0.00373 15 57270.999222407
0.0145 0.0122 0.00366 15 57271.999222407
0.0131 0.0114 0.00352 15 57272.999222407
0.0131 0.0118 0.00359 15 57273.999222407
0.0138 0.0118 0.0036049999999999997 15 57274.999222407
0.0138 0.0118 0.00352 15 57275.999222407
0.0131 0.0118 0.00356 15 57276.999222407
0.0138 0.0116 0.00362 15 57277.999222407
0.0138 0.0114 0.00356 15 57278.999222407
0.0138 0.0118 0.00359 15 57279.999222407
0.0131 0.012 0.00359 15 57280.999222407
0.0138 0.012 0.00362 15 57281.999222407
0.0138 0.0124 0.00369 15 57282.999222407
0.0145 0.0124 0.00379 15 57283.999222407
0.0151 0.0124 0.00373 15 57284.999222407
0.0184 0.0124 0.00369 15 57285.999222407
0.0145 0.0122 0.00369 15 57286.999222407
0.0138 0.0118 0.00364 15 57287.999222407
0.0148 0.0116 0.0039 15 57288.999222407
0.0151 0.0118 0.00386 15 57289.999222407
0.0151 0.012 0.00393 15 57290.999222407
0.0151 0.012 0.00386 15 57291.999222407
0.0151 0.0119 0.00398 15 57292.999222407
0.0151 0.012 0.0039 15 57293.999222407
0.0158 0.012 0.00396 15 57294.999222407
0.0171 0.012 0.00396 15 57295.999222407
0.0151 0.0121 0.00393 15 57296.999222407
0.0151 0.0119 0.0039 15 57297.999222407
0.0151 0.012 0.0039 15 57298.999222407
0.0151 0.0118 0.00386 15 57299.999222407
0.0148 0.0118 0.00386 15 57300.999222407
0.0151 0.0116 0.0037749999999999997 15 57301.999222407
0.0151 0.0118 0.00383 15 57302.999222407
0.0151 0.012 0.00386 15 57303.999222407
0.0151 0.0118 0.0039 15 57304.999222407
0.0151 0.011699999999999999 0.00386 15 57305.999222407
0.0151 0.012 0.00383 15 57306.999222407
0.0145 0.0118 0.00386 15 57307.999222407
0.0145 0.0116 0.00383 15 57308.999222407
0.0148 0.0118 0.00383 15 57309.999222407
0.0148 0.0116 0.00383 15 57310.999222407
0.0151 0.0118 0.00386 15 57311.999222407
0.0145 0.0116 0.00386 15 57312.999222407
0.0151 0.012 0.0039 15 57313.999222407
0.0145 0.0122 0.0039 15 57314.999222407
0.0145 0.012 0.0038799999999999998 15 57315.999222407
0.0158 0.0122 0.0039 15 57316.999222407
0.0158 0.012 0.003915 15 57317.999222407
0.0151 0.012 0.0039 15 57318.999222407
0.0151 0.0118 0.0039 15 57319.999222407
0.0145 0.0116 0.00383 15 57320.999222407
0.0151 0.0119 0.0039 15 57321.999222407
0.0151 0.0122 0.0039 15 57322.999222407
0.239 0.0432 0.0064849999999999994 15 57323.999222407
0.0529 0.0165 0.00437 15 57324.999222407
0.0243 0.0134 0.004 15 57325.999222407
0.0177 0.0124 0.004 15 57326.999222407
0.016100000000000003 0.0126 0.00393 15 57327.999222407
0.0158 0.0122 0.00405 15 57328.999222407
0.0164 0.0122 0.0039 15 57329.999222407
0.0158 0.0118 0.0039 15 57330.999222407
0.0151 0.012 0.00393 15 57331.999222407
